model,method,forget_split,stage,ES,dES,U
LLaMA-3.2-3B,FRP-RV(p=0.05),forget01,retain,0.0682,+0.0035,0.5759
LLaMA-3.2-3B,FRP-RV(p=0.05),forget01,forget,0.0646,+0.0000,0.5195
LLaMA-3.2-3B,FRP-RV(p=0.05),forget01,forget_retain,0.0997,+0.0351,0.5759
LLaMA-3.2-3B,FRP-RV(p=0.05),forget05,pure,0.0957,,0.5688
LLaMA-3.2-3B,FRP-RV(p=0.05),forget05,retain,0.1465,+0.0508,0.6057
LLaMA-3.2-3B,FRP-RV(p=0.05),forget05,forget,0.1518,+0.0561,0.5794
LLaMA-3.2-3B,FRP-RV(p=0.05),forget05,forget_retain,0.2308,+0.1351,0.6093
LLaMA-3.2-3B,FRP-RV(p=0.05),forget10,pure,0.1181,,0.5757
LLaMA-3.2-3B,FRP-RV(p=0.05),forget10,retain,0.1662,+0.0481,0.6133
LLaMA-3.2-3B,FRP-RV(p=0.05),forget10,forget,0.1789,+0.0609,0.5845
LLaMA-3.2-3B,FRP-RV(p=0.05),forget10,forget_retain,0.2534,+0.1354,0.6160
